"ID","step","angle","TimeNum","locType","time","temp","nu.x","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y"
"AM93",43.6494216550282,NA,329711.5,"p",2007-08-13 01:30:00,18,21.838512158172,33.378380754508,0,467.296479764186,0,467.296479764186,39.8878040894148,376046.617894332,-2690319.61459269
"AM93",60.4072587795662,2.76851336549595,NA,"p",2007-08-13 02:30:00,17.9886146039847,1.3592614263737,19.8804854044631,136.381816969859,350.746347094307,136.381816969859,350.746347094307,19.9268986935323,376067.967659754,-2690281.54282458
"AM93",161.915313367074,2.70093643537318,329713.5,"p",2007-08-13 03:30:00,18,2.37956247107897,-27.3163904736767,0,323.191893462692,0,323.191893462692,27.4198378198001,376021.249774165,-2690319.83742054
"AM93",252.58349487545,-0.933891334693126,NA,"p",2007-08-13 04:30:00,17.7385146763214,235.436037059062,10.8304985028897,130.180643722483,336.753619134227,130.180643722483,336.753619134227,235.685017011894,376178.291247573,-2690280.40971032
"AM93",372.577148137835,2.83079372005541,329715.5,"p",2007-08-13 05:30:00,19,28.0939723634601,-85.9952341975314,0,339.907340314975,0,339.907340314975,90.4679589017412,376373.430861026,-2690440.78100808
"AM93",734.417074847751,-0.0538221253349778,NA,"p",2007-08-13 06:30:00,22.0547376884631,-332.614351048605,548.596802032802,304.356698628435,446.686691093433,304.356698628435,446.686691093433,641.553394289284,376171.721975368,-2690127.52830377
"AM93",848.943907574452,-0.148701771466062,NA,"p",2007-08-13 07:30:00,25.4714463456726,-367.039280509292,705.529547788915,369.319644752347,432.436122450472,369.319644752347,432.436122450472,795.292258380534,375807.910892233,-2689489.55500055
"AM93",1141.48680501862,-0.44291673443216,NA,"p",2007-08-13 08:30:00,29.0466541264613,-193.270472683925,923.137702842656,174.854224998997,460.436749184945,174.854224998997,460.436749184945,943.152529562999,375501.265205135,-2688697.92744874
"AM93",378.587257387811,-0.592049447796092,329719.5,"p",2007-08-13 09:30:00,33,280.152815955699,948.271383532262,0,334.151163397646,0,334.151163397646,988.789268304475,375584.921906277,-2687559.51026581
"AM93",180.897702071463,-1.67614507302864,NA,"p",2007-08-13 10:30:00,35.0146055481069,194.206120083119,-66.2762138867897,219.303442745434,361.883959301873,219.303442745434,361.883959301873,205.203688087974,375818.652583262,-2687261.68769767
"AM93",105.95499992754,-2.04971723105278,NA,"p",2007-08-13 11:30:00,35.9879819586849,26.7518788530564,-84.8854121628515,7.07106781186548,429.415882333199,7.07106781186548,429.415882333199,89.0011023539922,375948.42630788,-2687387.7145163
"AM93",521.112209333531,0.491563034474519,NA,"p",2007-08-13 12:30:00,36.3663764661807,-211.948210498885,-82.5176365581012,136.674796506159,344.242646980295,136.674796506159,344.242646980295,227.444947793559,375847.887594746,-2687421.15744038
"AM93",985.845834231025,0.430230887843772,329723.5,"p",2007-08-13 13:30:00,35,-431.717128099922,-746.661873502939,0,319.735828458432,0,319.735828458432,862.486888038168,375489.597010281,-2687799.55642531
"AM93",722.790464132505,0.41389891285172,NA,"p",2007-08-13 14:30:00,32.9385578923035,-180.152778248752,-967.411387459681,129.803697944242,336.477339504461,129.803697944242,336.477339504461,984.042588558752,375172.11994552,-2688732.88397887
"AM93",247.367746106277,-0.170035659611709,329725.5,"p",2007-08-13 15:30:00,31,144.550738006747,-406.158321327154,0,322.857553729195,0,322.857553729195,431.114251494412,375234.218082187,-2689453.00193897
"AM93",355.95554006239,0.22610277818389,NA,"p",2007-08-13 16:30:00,27.9773781553066,-71.2929243029162,-211.053325929094,130.169120762184,336.726892302946,130.169120762184,336.726892302946,222.769359296547,375213.459878168,-2689699.49716971
"AM93",160.214541926508,0.455772748924,329727.5,"p",2007-08-13 17:30:00,27,133.930636128475,-354.615544211236,0,339.908811300913,0,339.908811300913,379.06410999989,375263.866737426,-2690051.86557783
"AM93",69.8404985390555,1.53536507118654,NA,"p",2007-08-13 18:30:00,25.8965484040409,65.215433926901,-3.47871660857825,304.384625104488,446.721389682652,304.384625104488,446.721389682652,65.3081487374798,375354.047538438,-2690184.2896035
"AM93",89.7411392384306,0.138707455850689,NA,"p",2007-08-13 19:30:00,24.0982817547,58.1266008732911,58.9548094381768,369.437410125179,432.454621896911,369.437410125179,432.454621896911,82.791130472863,375413.129967943,-2690147.047668
"AM93",133.644252658736,-0.672346885473826,NA,"p",2007-08-13 20:30:00,22.4404209746681,88.3469379327262,46.8540611651327,175.068557999431,460.517100659682,175.068557999431,460.517100659682,100.002422419434,375481.702025575,-2690089.15686576
"AM93",164.336704046701,-0.792772755670356,329731.5,"p",2007-08-13 21:30:00,22,151.449598751921,-59.8633102344744,0,342.447076203024,0,342.447076203024,162.851456469835,375615.290896881,-2690085.3098238
"AM93",176.672623081303,-0.261316692144962,NA,"p",2007-08-13 22:30:00,21.0824154415873,99.2783182365534,-144.235064145363,304.731028941918,446.686691093433,304.731028941918,446.686691093433,175.099794976737,375733.95616838,-2690198.9984584
"AM93",154.565162659481,-0.023421616933299,NA,"p",2007-08-13 23:30:00,19.6647879505184,85.6356191035081,-150.890075675358,369.450943969561,432.505491294619,369.450943969561,432.505491294619,173.497187863539,375825.621457853,-2690350.03054258
"AM93",44.0620288112916,0.135702591712203,NA,"p",2007-08-14 00:30:00,18.3580743375751,63.7222287951038,-102.65738293704,174.862803363094,460.479098331292,174.862803363094,460.479098331292,120.82657288071,375902.69997137,-2690484.00551137
"AM93",98.1435793068129,-1.58032083264037,329735.5,"p",2007-08-14 01:30:00,18,-28.9254602781516,-23.4872946762712,0,333.971555675031,0,333.971555675031,37.2603712208148,375929.637715562,-2690518.8741265
"AM93",313.963624906627,-1.85577047661625,NA,"p",2007-08-14 02:30:00,17.5916449671948,-106.055733171171,-10.2081107413429,217.43964679883,360.645255063754,217.43964679883,360.645255063754,106.545877739977,375851.403558924,-2690578.13270304
