"ID","step","angle","TimeNum","locType","time","temp","nu.x","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y"
"AM306",290.62380122502,-0.317851716215963,NA,"p",2008-09-16 23:01:00,22.9999175411306,-318.426889463022,13.4488097157999,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,318.71076921853,353666.315126863,-2695061.21027092
"AM306",25.5053145129115,0.448917263908017,NA,"p",2008-09-17 00:01:00,22.9999949099365,-110.825983096227,130.905057156427,4.12310562561766,251.338417278378,4.12310562561766,251.338417278378,171.518315402095,353402.622649486,-2694939.02814778
"AM306",10.0188692534535,1.46475318390571,339335.016666667,"p",2008-09-17 01:01:00,23,-3.89836826841523,5.08460456993471,0,252.194369485125,0,252.194369485125,6.40706475609445,353377.120210558,-2694939.41113232
"AM306",37.9366051674366,-1.43926835161582,339336.016666667,"p",2008-09-17 02:01:00,23,62.2831979474585,2.52528888411948,0,251.976189351296,0,251.976189351296,62.3343711808386,353376.209484793,-2694949.38852274
"AM306",111.609434187764,-0.941504205840074,NA,"p",2008-09-17 03:01:00,22.9999820245199,-78.2612559457392,-1.74458774124631,4.12310562561766,251.119493468747,4.12310562561766,251.119493468747,78.2806985698991,353338.30399008,-2694950.92458335
"AM306",247.180171413808,-0.837334882674391,NA,"p",2008-09-17 04:01:00,22.9997081115803,19.6990953022713,245.183159917235,4.12310562561766,251.205095489721,4.12310562561766,251.205095489721,245.973242981281,353269.014171593,-2694863.42837284
"AM306",223.287090805701,0.0834555090783842,NA,"p",2008-09-17 05:01:00,22.9952633683693,-165.751450417697,79.7422914118224,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,183.935794110821,353310.233633794,-2694619.70928644
"AM306",449.876941578427,-0.280376201076334,NA,"p",2008-09-17 06:01:00,24.0314183921082,370.112368661093,750.133177541307,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,836.470531151063,353328.986831405,-2694397.21110105
"AM306",56.1233947508502,1.29107087096006,NA,"p",2008-09-17 07:01:00,27.0476687139432,-91.0968206685053,7.26001023223394,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,91.385657980243,353489.344053427,-2693976.88405706
"AM306",455.668474337542,-2.63447949930453,NA,"p",2008-09-17 08:01:00,30.0543681648787,-24.04614793813,-6.35229061077574,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,24.8710439400155,353444.46846652,-2693943.17920373
