,event-id,visible,location-long,location-lat,external-temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2008-03-03 04:00:00,9421516710.0,True,31.53517,-24.12627,26.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 04:30:00,9421516711.0,True,31.53425,-24.12762,26.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 05:00:00,9421516712.0,True,31.5339999999999,-24.12816,27.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 05:30:00,9421516713.0,True,31.5348499999999,-24.1287799999999,28.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 06:00:00,9421516714.0,True,31.53853,-24.13239,28.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 06:30:00,9421516715.0,True,31.5425299999999,-24.1351699999999,30.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 07:00:00,9421516716.0,True,31.54373,-24.1351799999999,32.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 07:30:00,9421516717.0,True,31.5442299999999,-24.1369399999999,33.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 08:00:00,9421516718.0,True,31.5452,-24.13697,34.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 08:30:00,9421516719.0,True,31.54614,-24.1378899999999,34.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 09:00:00,9421516720.0,True,31.54833,-24.14181,35.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
2008-03-03 09:30:00,9421516721.0,True,31.5483499999999,-24.1418199999999,35.0,gps,Loxodonta africana,AM307,AM307,ThermochronTracking Elephants Kruger 2007
