,event-id,visible,location-long,location-lat,external-temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2007-08-13 00:30:00,9421488122.0,True,31.62786,-24.40582,22.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 01:00:00,9421488123.0,True,31.62787,-24.40583,22.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 01:30:00,9421488124.0,True,31.62759,-24.40622,21.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 02:00:00,9421488125.0,True,31.62745,-24.40642,21.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 02:30:00,9421488126.0,True,31.62746,-24.40638,21.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 03:00:00,9421488127.0,True,31.62763,-24.40633,20.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 03:30:00,9421488128.0,True,31.62746,-24.40629,20.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 04:00:00,9421488129.0,True,31.62713,-24.4058,19.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 04:30:00,9421488130.0,True,31.62763,-24.40534,19.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 05:00:00,9421488131.0,True,31.62991,-24.40494,19.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 05:30:00,9421488132.0,True,31.63056,-24.40441,19.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 06:00:00,9421488133.0,True,31.63216,-24.40262,20.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 06:30:00,9421488134.0,True,31.6325,-24.40195,22.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 07:00:00,9421488135.0,True,31.63297,-24.40123,24.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 07:30:00,9421488136.0,True,31.63516,-24.40083,26.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 08:00:00,9421488137.0,True,31.63802,-24.39941,27.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 08:30:00,9421488138.0,True,31.63801,-24.39954,28.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 09:00:00,9421488139.0,True,31.63798,-24.39954,31.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 09:30:00,9421488140.0,True,31.6381,-24.39946,34.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 10:00:00,9421488141.0,True,31.63811,-24.39949,36.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 10:30:00,9421488142.0,True,31.63774,-24.39965,37.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 11:00:00,9421488143.0,True,31.6378,-24.39955,37.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 11:30:00,9421488144.0,True,31.63807,-24.39947,36.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 12:00:00,9421488145.0,True,31.63483,-24.40017,36.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 12:30:00,9421488146.0,True,31.63358,-24.39973,36.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 13:00:00,9421488147.0,True,31.63308,-24.39955,34.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 13:30:00,9421488148.0,True,31.63256,-24.39931,34.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 14:00:00,9421488149.0,True,31.63167,-24.39754,34.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 14:30:00,9421488150.0,True,31.62908,-24.39746,34.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 15:00:00,9421488150.333334,True,31.625056666666666,-24.398413333333334,32.666666666666664,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 15:30:00,9421488150.666666,True,31.621033333333333,-24.399366666666666,31.333333333333332,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 16:00:00,9421488151.0,True,31.61701,-24.40032,30.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 16:30:00,9421488152.0,True,31.61657,-24.40069,29.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 17:00:00,9421488153.0,True,31.61244,-24.40354,28.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 17:30:00,9421488154.0,True,31.60674,-24.41028,28.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 18:00:00,9421488155.0,True,31.60537,-24.41308,27.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
2007-08-13 18:30:00,9421488156.0,True,31.60285,-24.41938,26.0,gps,Loxodonta africana,AM255,AM255,ThermochronTracking Elephants Kruger 2007
