,event-id,visible,location-long,location-lat,external-temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2007-08-13 00:30:00,9421443600.0,True,31.69121,-24.56563,21.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 01:00:00,9421443601.0,True,31.69104,-24.56563,21.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 01:30:00,9421443602.0,True,31.69104,-24.5657,20.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 02:00:00,9421443603.0,True,31.691,-24.5656,20.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 02:30:00,9421443604.0,True,31.6914,-24.56573,19.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 03:00:00,9421443605.0,True,31.69199,-24.56567,19.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 03:30:00,9421443606.0,True,31.69293,-24.56607,19.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 04:00:00,9421443607.0,True,31.69166,-24.56619,19.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 04:30:00,9421443608.0,True,31.69131,-24.56559,19.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 05:00:00,9421443609.0,True,31.69133,-24.5653,19.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 05:30:00,9421443610.0,True,31.69188,-24.56583,19.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 06:00:00,9421443611.0,True,31.69209,-24.56657,21.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 06:30:00,9421443612.0,True,31.69335,-24.57055,23.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 07:00:00,9421443612.967741,True,31.694917741935484,-24.570685483870967,24.93548387096774,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 07:30:00,9421443614.0,True,31.69779,-24.56911,28.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
2007-08-13 08:00:00,9421443615.0,True,31.6996,-24.5678,30.0,gps,Loxodonta africana,AM253,AM253,ThermochronTracking Elephants Kruger 2007
